Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSE84437_GSM2236030	0.0557775533539089	0	0	0.0784642111357014	0	0.125303527931814	0.0431034687786327	0.0105770113138516	0.0570775042648437	0	0.00168372341164461	0.0281720810411071	0	0.267400250242053	0.0625276371406029	0.190122208851536	0	0.0042387820106268	0	0.0481605216942642	0	0.0273915188294128	0.00700000000000001	0.258496248100027	0.993144276825742
GSE84437_GSM2236031	0.0315553471417362	0.177309611363658	0	0.148336493820108	0	0.0976910190087181	0.0218208391960889	0.0304938089627439	0.0521419850672954	0	0.0130637076950261	0	0.0326175208955819	0.038162081676498	0.0497068842961024	0.173004235917544	0	0.0299376426212963	0.104158822337603	0	0	0	0.004	0.31170694823412	0.953225975281983
GSE84437_GSM2236032	0.0935924481773998	0	0.0433216490557408	0.222195640624254	0	0.0813999732985161	0.139844237112925	0.0760373970730391	0.017242591420263	0	0.0369334237045784	0.0382083638361735	0.00982076509704211	0.0129075146945424	0.0923441137254732	0.0400067552846941	0.00985681774156261	0.0538199120590062	0.0245977772704973	0	0	0.0078706198242918	0.002	0.34809291453383	0.945097283245144
GSE84437_GSM2236033	0.0930760756033332	0	0.0130837536244638	0.088405158767585	0	0.164937598110844	0.00217618859838976	0.0283229060168929	0.0754241294844587	0	0.0100856537804945	0	0.00637711089041557	0.307528134199884	0.0465718554068675	0.119903912086677	0	0	0.0441075234296941	0	0	0	0.019	0.226479243363155	1.0060232764875
GSE84437_GSM2236034	0.0443813020908612	0.0378614033494029	0.0226770621440849	0.186705959699125	0	0.142084776276354	0.0574271936826965	0.0797934461189414	0.09278207011495	0	0.0135093177119737	0	0	0.13219668985826	0.108731479055638	0.0606580129037972	0	0.00223847713904924	0.0189528098548662	0	0	0	0.001	0.360834438238621	0.938108848731305
GSE84437_GSM2236036	0.0752738528549804	0	0.0801086253840955	0.0627173205682749	0	0.254101666781946	0.0261810911198391	0.0150856352609417	0.00993095715185205	0	0	0.021554237700356	0.0187186109626498	0	0.0317633579192824	0.0472423333612496	0.0415007194377572	0.0736292510803892	0.242192340416387	0	0	0	0.013	0.241742515655633	0.983017789432051
GSE84437_GSM2236037	0.0145242348349644	0	0	0.0850799980713335	0	0.0982195085867988	0	0.0019862540037679	0.0542867120039954	0	0	0.00236999273276158	0	0.308275306989095	0.0300230766951047	0.250127662271919	0.0299121326398182	0	0.125195121170441	0	0	0	0	0.567955637694499	0.824012062863035
GSE84437_GSM2236038	0.0806972622306988	0	0.0914352409098502	0.242086591280327	0	0.194573153711785	0.0301791777952619	0.049885093446592	0.00337069918075853	0	0	0	0.00456819283866517	0.011253215111558	0.0445929026219748	0.0871518601891762	0.00492178564022702	0.00586136001620548	0.14942346502692	0	0	0	0.002	0.352741766700514	0.938606944151596
GSE84437_GSM2236039	0.0747546615780072	0	0	0.121391333772577	0	0.234580290734341	0.00467536905793424	0.0513184382738436	0.0613104900020857	0	0.00774898541726184	0.0107660286376008	0	0.155045680707921	0.0512800043576062	0.085872792948918	0.0106962476753165	0.0537526935841118	0.0768069832524755	0	0	0	0.165	0.0976535316709457	1.05368946404348
GSE84437_GSM2236040	0.03777115791007	0	0	0.140688278959617	0	0.209785057009065	0	0.0439595455074114	0.0505595515577187	0	0	0.0831296255989448	0	0.0108214562871757	0.0299224351891008	0.0609429741794712	0	0.039713184529452	0.144361764880649	0	0	0.148344968391325	0.309	0.0617671594005904	1.0799479945379
GSE84437_GSM2236041	0.0187927735867377	0.0140297373549975	0	0.154120304136053	0	0.0941554928053021	0.00296700064309936	0.0208087588726632	0.065403317936346	0.0367755262576607	0	0.0331841830490509	0.016894830929789	0.0402360727816961	0.0447897889082232	0.0986616603586221	0.033421706427691	0.0127378877324349	0.313020958219633	0	0	0	0	0.595121047587623	0.815478236296004
GSE84437_GSM2236042	0.0942420924881823	0	0.0409999488517982	0.264791496080168	0	0.106664758495318	0	0.0405645749059516	0.0502254294410746	0	0	0.0281513099269552	0	0.167051161361363	0.0791490521513305	0.0451214719213684	0	0	0.0830387043764901	0	0	0	0.033	0.188089812206817	1.0181214827947
GSE84437_GSM2236043	0.0411316634521802	0.00533613871118013	0.0951000048554486	0.103588464335803	0	0.195051274056393	0	0.0215284830219131	0.0467751825887213	0	0	0.00086689637875005	0	0.142877827693886	0.0629114101135381	0.0746394436090275	0.0333312942617751	0.0241725173193291	0.143034818222248	0	0	0.0096545813798071	0.004	0.313311286527127	0.952523005861533
